x1	w1	x2	w2	x3	w3	x4	w4	x5	w5	x6	w6
54.02703067	0.621266878	53.48310692	0.632250134	52.9391396	0.642744403	52.39512738	0.652752188	51.8510689	0.662276042	51.30696281	0.671318569
54.53872407	0.633958437	53.98986414	0.645380517	53.4409597	0.656297455	52.89200943	0.666711854	52.34301195	0.676626367	51.79396592	0.686043698
55.05062354	0.646762666	54.49682902	0.65863512	53.94298903	0.669985916	53.38910224	0.680817758	52.8351673	0.691133401	52.28118283	0.700935654
55.56272901	0.659678848	55.00400146	0.67201338	54.44522748	0.683809373	53.88640571	0.695069633	53.32753481	0.70579702	52.7686134	0.71599445
56.07504037	0.672706258	55.51138137	0.685514728	54.94767493	0.697767405	54.38391971	0.709467204	53.82011436	0.720617091	53.2562575	0.731220092
56.58755755	0.685844168	56.01896865	0.699138588	55.45033128	0.711859588	54.88164412	0.724010192	54.31290582	0.735593477	53.74411499	0.746612579
57.10028045	0.699091841	56.52676319	0.712884378	55.95319643	0.72608549	55.37957884	0.738698311	54.80590905	0.750726033	54.23218572	0.762171906
57.61320898	0.712448532	57.03476492	0.726751508	56.45627027	0.740444671	55.87772373	0.753531268	55.29912394	0.766014609	54.72046955	0.77789806
58.12634307	0.725913493	57.54297372	0.740739384	56.95955269	0.754936686	56.37607868	0.768508765	55.79255035	0.781459048	55.20896635	0.793791022
58.63968263	0.739485965	58.0513895	0.754847403	57.46304359	0.769561084	56.87464359	0.783630496	56.28618816	0.797059187	55.69767597	0.809850769
59.15322756	0.753165187	58.56001218	0.769074956	57.96674286	0.784317407	57.37341833	0.79889615	56.78003725	0.812814858	56.18659828	0.826077269
59.6669778	0.766950387	59.06884165	0.783421428	58.47065041	0.79920519	57.87240278	0.814305409	57.27409747	0.828725886	56.67573314	0.842470486
60.18093324	0.780840789	59.57787783	0.797886197	58.97476612	0.814223963	58.37159685	0.829857949	57.76836872	0.844792088	57.16508041	0.859030378
60.69509381	0.794835608	60.08712061	0.812468636	59.47908989	0.829373247	58.8710004	0.84555344	58.26285085	0.861013278	57.65463996	0.875756895
61.20945944	0.808934056	60.59656992	0.827168108	59.98362163	0.84465256	59.37061333	0.861391544	58.75754376	0.877389261	58.14441163	0.892649983
61.72403003	0.823135334	61.10622566	0.841983972	60.48836123	0.86006141	59.87043553	0.877371919	59.25244731	0.893919838	58.63439531	0.90970958
62.2388055	0.837438638	61.61608773	0.85691558	60.99330859	0.875599301	60.37046688	0.893494214	59.74756138	0.910604802	59.12459085	0.92693562
62.75378578	0.851843159	62.12615605	0.871962277	61.4984636	0.89126573	60.87070727	0.909758075	60.24288585	0.92744394	59.61499811	0.944328029
63.26897079	0.866348079	62.63643054	0.887123402	62.00382619	0.907060187	61.37115659	0.926163138	60.73842059	0.944437034	60.10561696	0.961886729
63.78436044	0.880952574	63.14691109	0.902398286	62.50939623	0.922982155	61.87181474	0.942709035	61.23416548	0.961583859	60.59644727	0.979611632
64.29995467	0.895655813	63.65759763	0.917786254	63.01517363	0.939031111	62.3726816	0.959395392	61.7301204	0.978884183	61.08748889	0.997502649
64.81575338	0.910456958	64.16849007	0.933286626	63.52115831	0.955206527	62.87375705	0.976221826	62.22628522	0.996337768	61.5787417	1.01555968
65.33175651	0.925355166	64.67958831	0.948898713	64.02735015	0.971507866	63.37504101	0.993187949	62.72265984	1.013944372	62.07020555	1.033782622
65.84796398	0.940349585	65.19089228	0.964621821	64.53374906	0.987934586	63.87653335	1.010293369	63.21924412	1.031703743	62.56188032	1.052171366
66.36437572	0.955439358	65.7024019	0.980455249	65.04035496	1.004486138	64.37823396	1.027537683	63.71603794	1.049615626	63.05376587	1.070725794
66.88099164	0.970623619	66.21411707	0.996398287	65.54716773	1.021161966	64.88014275	1.044920485	64.21304119	1.067679757	63.54586207	1.089445784
67.39781168	0.985901497	66.72603771	1.012450223	66.0541873	1.03796151	65.38225961	1.062441362	64.71025375	1.085895868	64.03816879	1.108331208
67.91483576	1.001272115	67.23816374	1.028610334	66.56141356	1.054884199	65.88458442	1.080099893	65.20767549	1.104263684	64.53068588	1.127381931
68.4320638	1.016734587	67.75049508	1.044877892	67.06884642	1.07192946	66.38711709	1.097895653	65.70530631	1.122782922	65.02341323	1.146597813
68.94949575	1.032288021	68.26303164	1.061252164	67.57648579	1.08909671	66.88985752	1.115828208	66.20314608	1.141453295	65.5163507	1.165978705
69.46713152	1.047931519	68.77577336	1.077732407	68.08433158	1.106385362	67.39280559	1.13389712	66.70119469	1.160274509	66.00949816	1.185524454
69.98497105	1.063664176	69.28872013	1.094317874	68.5923837	1.12379482	67.8959612	1.152101942	67.19945202	1.179246263	66.50285548	1.205234902
70.50301427	1.079485079	69.80187189	1.11100781	69.10064205	1.141324484	68.39932425	1.170442224	67.69791795	1.198368251	66.99642252	1.225109883
71.0212611	1.095393309	70.31522856	1.127801454	69.60910655	1.158973745	68.90289465	1.188917506	68.19659237	1.217640158	67.49019916	1.245149224
71.53971148	1.11138794	70.82879006	1.144698037	70.11777711	1.17674199	69.40667229	1.207527324	68.69547517	1.237061667	67.98418528	1.265352747
72.05836534	1.127468041	71.34255631	1.161696786	70.62665364	1.194628596	69.91065706	1.226271206	69.19456623	1.25663245	68.47838073	1.285720269
72.57722261	1.14363267	71.85652724	1.178796918	71.13573605	1.212632937	70.41484887	1.245148674	69.69386543	1.276352176	68.9727854	1.306251598
73.09628323	1.159880882	72.37070277	1.195997645	71.64502426	1.230754378	70.91924763	1.264159244	70.19337268	1.296220506	69.46739916	1.326946538
73.61554713	1.176211724	72.88508282	1.213298172	72.15451818	1.248992279	71.42385322	1.283302425	70.69308784	1.316237096	69.96222188	1.347804885
74.13501424	1.192624235	73.39966732	1.230697698	72.66421772	1.267345992	71.92866556	1.302577721	71.19301082	1.336401593	70.45725342	1.368826432
74.65468451	1.20911745	73.91445619	1.248195414	73.1741228	1.285814863	72.43368454	1.321984626	71.6931415	1.356713642	70.95249368	1.390010961
75.17455787	1.225690393	74.42944937	1.265790506	73.68423334	1.304398232	72.93891008	1.341522632	72.19347977	1.377172876	71.44794252	1.411358251
75.69463424	1.242342084	74.94464678	1.283482151	74.19454925	1.323095431	73.44434207	1.361191221	72.69402552	1.397778927	71.94359981	1.432868075
76.21491358	1.259071537	75.46004835	1.301269521	74.70507045	1.341905786	73.94998042	1.38098987	73.19477865	1.418531418	72.43946544	1.454540198
